room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17786406,1480,103885214,Shared room,,Lisbon,,Santa Maria Maior,0,0.0,1,1.0,,24.0,,Lisboa Tu & Eu Hostel - VIII,2017-07-28 01:19:38.572661,38.709986,-9.13262,0101000020E61000004E97C5C4E64322C0164F3DD2E05A4340
11693115,1480,28812904,Shared room,,Lisbon,,Santa Maria Maior,6,4.0,1,1.0,,15.0,,Lisbon Cozy Flat - Bunk Beds 6,2017-07-28 01:19:37.075126,38.712146,-9.13674,0101000020E61000002E1C08C9024622C015FDA199275B4340
14933182,1480,91501272,Shared room,,Lisbon,,Santo António,5,5.0,8,1.0,,15.0,,LOW COST HOSTEL MARQUES GARDENS 8 BED DORM,2017-07-28 01:19:37.073050,38.725084,-9.148648,0101000020E61000004B3B35971B4C22C02B6D718DCF5C4340
18347196,1480,107813252,Shared room,,Lisbon,,Areeiro,1,0.0,1,1.0,,15.0,,Nice room near downtown Lisbon 1,2017-07-28 01:19:37.070530,38.739004,-9.131813,0101000020E6100000136058FE7C4322C07DCEDDAE975E4340
17784456,1480,103885214,Shared room,,Lisbon,,Santa Maria Maior,1,0.0,1,1.0,,24.0,,Lisboa Tu & Eu - II,2017-07-28 01:19:37.068490,38.70921,-9.133637,0101000020E61000003412A1116C4422C082FFAD64C75A4340
18347706,1480,107813252,Shared room,,Lisbon,,Areeiro,3,5.0,4,1.0,,14.0,,Nice room near downtown Lisbon,2017-07-28 01:19:37.066392,38.740795,-9.131876,0101000020E61000002D414640854322C02905DD5ED25E4340
18347279,1480,107813252,Shared room,,Lisbon,,Areeiro,1,0.0,1,1.0,,14.0,,Nice room near downtown Lisbon 2,2017-07-28 01:19:37.063656,38.740315,-9.130708,0101000020E6100000B1A6B228EC4222C07FDE54A4C25E4340
17096560,1480,107813252,Shared room,,Lisbon,,Areeiro,10,5.0,1,1.0,,14.0,,Nice room near downtown Lisbon 4,2017-07-28 01:19:37.061523,38.739292,-9.132256,0101000020E61000004966F50EB74322C0E318C91EA15E4340
18345382,1480,107813252,Shared room,,Lisbon,,Areeiro,0,0.0,1,1.0,,20.0,,Beautiful room near downtown Lisbon 2,2017-07-28 01:19:37.059355,38.739041,-9.131372,0101000020E61000006138D730434322C09AB33EE5985E4340
11523225,1480,58899339,Shared room,,Lisbon,,Avenidas Novas,4,5.0,9,1.0,,27.0,,NestHouse Lisbon Hostel Female Dorm,2017-07-28 01:19:37.056625,38.734229,-9.145199,0101000020E6100000E5D2F885574A22C02C634337FB5D4340
12305540,1480,66077974,Shared room,,Lisbon,,Arroios,43,4.5,1,1.0,,24.0,,Be Lisbon Hostel,2017-07-28 01:19:37.054378,38.732538,-9.139503,0101000020E61000004563EDEF6C4722C0E38920CEC35D4340
6728398,1480,28812904,Shared room,,Lisbon,,Santa Maria Maior,4,3.0,1,1.0,,16.0,,Lisbon Cozy Flat - Bunk Beds 4,2017-07-28 01:19:37.052125,38.710566,-9.135661,0101000020E610000071AFCC5B754522C024D3A1D3F35A4340
11015580,1480,32344156,Shared room,,Lisbon,,Misericórdia,17,4.5,8,1.0,,25.0,,Bed in Bright 8 bedded Dormitory,2017-07-28 01:19:37.049463,38.714269,-9.148023,0101000020E6100000931CB0ABC94B22C0F8C5A52A6D5B4340
